Quantity,Discipline,Quantity TypeId,Type Catalog String,Unit Name,Unit TypeId,Unit Symbol,Conversion Factor From Internal,Conversion Factor To Internal,Is Valid
"Duct Insulation Thickness","HVAC","autodesk.spec.aec.hvac:ductInsulationThickness-2.0.0","HVAC_DUCT_INSULATION_THICKNESS","Feet and fractional inches","autodesk.unit.unit:feetFractionalInches-1.0.0","",1,1,True
"Duct Insulation Thickness","HVAC","autodesk.spec.aec.hvac:ductInsulationThickness-2.0.0","HVAC_DUCT_INSULATION_THICKNESS","Fractional inches","autodesk.unit.unit:fractionalInches-1.0.0","",12,0.0833333333333333,True
"Duct Insulation Thickness","HVAC","autodesk.spec.aec.hvac:ductInsulationThickness-2.0.0","HVAC_DUCT_INSULATION_THICKNESS","Meters and centimeters","autodesk.unit.unit:metersCentimeters-1.0.0","",0.3048,3.28083989501312,True
"Duct Lining Thickness","HVAC","autodesk.spec.aec.hvac:ductLiningThickness-2.0.0","HVAC_DUCT_LINING_THICKNESS","Centimeters","autodesk.unit.unit:centimeters-1.0.1","cm",30.48,0.0328083989501312,True
"Duct Lining Thickness","HVAC","autodesk.spec.aec.hvac:ductLiningThickness-2.0.0","HVAC_DUCT_LINING_THICKNESS","Decimeters","autodesk.unit.unit:decimeters-1.0.1","dm",3.048,0.328083989501312,True
"Duct Lining Thickness","HVAC","autodesk.spec.aec.hvac:ductLiningThickness-2.0.0","HVAC_DUCT_LINING_THICKNESS","Feet","autodesk.unit.unit:feet-1.0.1","LF",1,1,True
"Duct Lining Thickness","HVAC","autodesk.spec.aec.hvac:ductLiningThickness-2.0.0","HVAC_DUCT_LINING_THICKNESS","Inches","autodesk.unit.unit:inches-1.0.1",""",12,0.0833333333333333,True
"Duct Lining Thickness","HVAC","autodesk.spec.aec.hvac:ductLiningThickness-2.0.0","HVAC_DUCT_LINING_THICKNESS","Meters","autodesk.unit.unit:meters-1.0.0","m",0.3048,3.28083989501312,True
"Duct Lining Thickness","HVAC","autodesk.spec.aec.hvac:ductLiningThickness-2.0.0","HVAC_DUCT_LINING_THICKNESS","Millimeters","autodesk.unit.unit:millimeters-1.0.1","mm",304.8,0.00328083989501312,True
"Duct Lining Thickness","HVAC","autodesk.spec.aec.hvac:ductLiningThickness-2.0.0","HVAC_DUCT_LINING_THICKNESS","Feet and fractional inches","autodesk.unit.unit:feetFractionalInches-1.0.0","",1,1,True
"Duct Lining Thickness","HVAC","autodesk.spec.aec.hvac:ductLiningThickness-2.0.0","HVAC_DUCT_LINING_THICKNESS","Fractional inches","autodesk.unit.unit:fractionalInches-1.0.0","",12,0.0833333333333333,True
"Duct Lining Thickness","HVAC","autodesk.spec.aec.hvac:ductLiningThickness-2.0.0","HVAC_DUCT_LINING_THICKNESS","Meters and centimeters","autodesk.unit.unit:metersCentimeters-1.0.0","",0.3048,3.28083989501312,True
"Duct Size","HVAC","autodesk.spec.aec.hvac:ductSize-2.0.0","HVAC_DUCT_SIZE","Centimeters","autodesk.unit.unit:centimeters-1.0.1","cm",30.48,0.0328083989501312,True
"Duct Size","HVAC","autodesk.spec.aec.hvac:ductSize-2.0.0","HVAC_DUCT_SIZE","Decimeters","autodesk.unit.unit:decimeters-1.0.1","dm",3.048,0.328083989501312,True
"Duct Size","HVAC","autodesk.spec.aec.hvac:ductSize-2.0.0","HVAC_DUCT_SIZE","Feet","autodesk.unit.unit:feet-1.0.1","LF",1,1,True
"Duct Size","HVAC","autodesk.spec.aec.hvac:ductSize-2.0.0","HVAC_DUCT_SIZE","Inches","autodesk.unit.unit:inches-1.0.1",""",12,0.0833333333333333,True
"Duct Size","HVAC","autodesk.spec.aec.hvac:ductSize-2.0.0","HVAC_DUCT_SIZE","Meters","autodesk.unit.unit:meters-1.0.0","m",0.3048,3.28083989501312,True
"Duct Size","HVAC","autodesk.spec.aec.hvac:ductSize-2.0.0","HVAC_DUCT_SIZE","Millimeters","autodesk.unit.unit:millimeters-1.0.1","mm",304.8,0.00328083989501312,True
"Duct Size","HVAC","autodesk.spec.aec.hvac:ductSize-2.0.0","HVAC_DUCT_SIZE","Feet and fractional inches","autodesk.unit.unit:feetFractionalInches-1.0.0","",1,1,True
"Duct Size","HVAC","autodesk.spec.aec.hvac:ductSize-2.0.0","HVAC_DUCT_SIZE","Fractional inches","autodesk.unit.unit:fractionalInches-1.0.0","",12,0.0833333333333333,True
"Duct Size","HVAC","autodesk.spec.aec.hvac:ductSize-2.0.0","HVAC_DUCT_SIZE","Meters and centimeters","autodesk.unit.unit:metersCentimeters-1.0.0","",0.3048,3.28083989501312,True
"Factor","HVAC","autodesk.spec.aec.hvac:factor-2.0.0","HVAC_FACTOR","Fixed","autodesk.unit.unit:fixed-1.0.1","",1,1,True
"Factor","HVAC","autodesk.spec.aec.hvac:factor-2.0.0","HVAC_FACTOR","Percentage","autodesk.unit.unit:percentage-1.0.1","%",100,0.01,True
"Flow per Power","HVAC","autodesk.spec.aec.hvac:flowPerPower-2.0.0","HVAC_FLOW_PER_POWER","Cubic feet per minute per British thermal unit per hour","autodesk.unit.unit:cubicFeetPerMinutePerBritishThermalUnitPerHour-1.0.0","ft³·h/(min·Btu)",189.275444703783,0.00528330551046918,True
"Flow per Power","HVAC","autodesk.spec.aec.hvac:flowPerPower-2.0.0","HVAC_FLOW_PER_POWER","Cubic meters per watt second","autodesk.unit.unit:cubicMetersPerWattSecond-1.0.0","m³/(W·s)",0.3048,3.28083989501312,True
"Friction","HVAC","autodesk.spec.aec.hvac:friction-2.0.0","HVAC_FRICTION","Feet of water (39.2 °F) per 100 feet","autodesk.unit.unit:feetOfWater39.2DegreesFahrenheitPer100Feet-1.0.1","FT/100ft",0.109764531546318,9.11041104,True
"Friction","HVAC","autodesk.spec.aec.hvac:friction-2.0.0","HVAC_FRICTION","Inches of water (60 °F) per 100 feet","autodesk.unit.unit:inchesOfWater60DegreesFahrenheitPer100Feet-1.0.1","in-wg/100ft",1.31845358262865,0.75846432,True
"Friction","HVAC","autodesk.spec.aec.hvac:friction-2.0.0","HVAC_FRICTION","Meters of water column per meter","autodesk.unit.unit:metersOfWaterColumnPerMeter-1.0.0","mH2O/m",0.00109761339669609,911.067597216,True
"Friction","HVAC","autodesk.spec.aec.hvac:friction-2.0.0","HVAC_FRICTION","Millimeters of water column per meter","autodesk.unit.unit:millimetersOfWaterColumnPerMeter-1.0.0","mmH2O/m",1.09761339669609,0.911067597216,True
"Friction","HVAC","autodesk.spec.aec.hvac:friction-2.0.0","HVAC_FRICTION","Pascals per meter","autodesk.unit.unit:pascalsPerMeter-1.0.1","Pa/m",10.7639104167097,0.09290304,True
"Heat Gain","HVAC","autodesk.spec.aec.hvac:heatGain-2.0.0","HVAC_HEAT_GAIN","British thermal units per hour","autodesk.unit.unit:britishThermalUnitsPerHour-1.0.1","Btu/h",0.316998330628151,3.15459074506305,True
"Heat Gain","HVAC","autodesk.spec.aec.hvac:heatGain-2.0.0","HVAC_HEAT_GAIN","British thermal units per second","autodesk.unit.unit:britishThermalUnitsPerSecond-1.0.1","Btu/s",8.80550918411529E-05,11356.526682227,True
"Heat Gain","HVAC","autodesk.spec.aec.hvac:heatGain-2.0.0","HVAC_HEAT_GAIN","Calories per second","autodesk.unit.unit:caloriesPerSecond-1.0.1","cal/s",0.0221895098882201,45.0663401326803,True
"Heat Gain","HVAC","autodesk.spec.aec.hvac:heatGain-2.0.0","HVAC_HEAT_GAIN","Kilocalories per second","autodesk.unit.unit:kilocaloriesPerSecond-1.0.1","kcal/s",2.21895098882201E-05,45066.3401326803,True
"Heat Gain","HVAC","autodesk.spec.aec.hvac:heatGain-2.0.0","HVAC_HEAT_GAIN","Kilowatts","autodesk.unit.unit:kilowatts-1.0.1","kW",9.290304E-05,10763.9104167097,True
"Heat Gain","HVAC","autodesk.spec.aec.hvac:heatGain-2.0.0","HVAC_HEAT_GAIN","Watts","autodesk.unit.unit:watts-1.0.1","W",0.09290304,10.7639104167097,True
"Heating Load","HVAC","autodesk.spec.aec.hvac:heatingLoad-2.0.0","HVAC_HEATING_LOAD","British thermal units per hour","autodesk.unit.unit:britishThermalUnitsPerHour-1.0.1","Btu/h",0.316998330628151,3.15459074506305,True
"Heating Load","HVAC","autodesk.spec.aec.hvac:heatingLoad-2.0.0","HVAC_HEATING_LOAD","British thermal units per second","autodesk.unit.unit:britishThermalUnitsPerSecond-1.0.1","Btu/s",8.80550918411529E-05,11356.526682227,True
"Heating Load","HVAC","autodesk.spec.aec.hvac:heatingLoad-2.0.0","HVAC_HEATING_LOAD","Kilowatts","autodesk.unit.unit:kilowatts-1.0.1","kW",9.290304E-05,10763.9104167097,True
"Heating Load","HVAC","autodesk.spec.aec.hvac:heatingLoad-2.0.0","HVAC_HEATING_LOAD","Watts","autodesk.unit.unit:watts-1.0.1","W",0.09290304,10.7639104167097,True
"Heating Load divided by Area","HVAC","autodesk.spec.aec.hvac:heatingLoadDividedByArea-2.0.0","HVAC_HEATING_LOAD_DIVIDED_BY_AREA","British thermal units per hour square foot","autodesk.unit.unit:britishThermalUnitsPerHourSquareFoot-1.0.1","Btu/(h·ft²)",0.316998330628151,3.15459074506305,True
"Heating Load divided by Area","HVAC","autodesk.spec.aec.hvac:heatingLoadDividedByArea-2.0.0","HVAC_HEATING_LOAD_DIVIDED_BY_AREA","Watts per square foot","autodesk.unit.unit:wattsPerSquareFoot-1.0.1","W/ft²",0.09290304,10.7639104167097,True
"Heating Load divided by Area","HVAC","autodesk.spec.aec.hvac:heatingLoadDividedByArea-2.0.0","HVAC_HEATING_LOAD_DIVIDED_BY_AREA","Watts per square meter","autodesk.unit.unit:wattsPerSquareMeter-1.0.1","W/m²",1,1,True
"Heating Load divided by Volume","HVAC","autodesk.spec.aec.hvac:heatingLoadDividedByVolume-2.0.0","HVAC_HEATING_LOAD_DIVIDED_BY_VOLUME","British thermal units per hour cubic foot","autodesk.unit.unit:britishThermalUnitsPerHourCubicFoot-1.0.1","Btu/(h·ft³)",0.316998330628151,3.15459074506305,True
"Heating Load divided by Volume","HVAC","autodesk.spec.aec.hvac:heatingLoadDividedByVolume-2.0.0","HVAC_HEATING_LOAD_DIVIDED_BY_VOLUME","Watts per cubic foot","autodesk.unit.unit:wattsPerCubicFoot-1.0.1","W/ft³",0.09290304,10.7639104167097,True
"Heating Load divided by Volume","HVAC","autodesk.spec.aec.hvac:heatingLoadDividedByVolume-2.0.0","HVAC_HEATING_LOAD_DIVIDED_BY_VOLUME","Watts per cubic meter","autodesk.unit.unit:wattsPerCubicMeter-1.0.1","W/m³",3.28083989501312,0.3048,True
"Mass per Time","HVAC","autodesk.spec.aec.hvac:massPerTime-2.0.0","HVAC_MASS_PER_TIME","Kilograms per hour","autodesk.unit.unit:kilogramsPerHour-1.0.0","kg/h",3600,0.000277777777777778,True
"Mass per Time","HVAC","autodesk.spec.aec.hvac:massPerTime-2.0.0","HVAC_MASS_PER_TIME","Kilograms per minute","autodesk.unit.unit:kilogramsPerMinute-1.0.0","kg/min",60,0.0166666666666667,True
"Mass per Time","HVAC","autodesk.spec.aec.hvac:massPerTime-2.0.0","HVAC_MASS_PER_TIME","Kilograms per second","autodesk.unit.unit:kilogramsPerSecond-1.0.0","kg/s",1,1,True
"Mass per Time","HVAC","autodesk.spec.aec.hvac:massPerTime-2.0.0","HVAC_MASS_PER_TIME","Pounds mass per hour","autodesk.unit.unit:poundsMassPerHour-1.0.0","lb/h",7936.64143865559,0.000125997880555556,True
"Mass per Time","HVAC","autodesk.spec.aec.hvac:massPerTime-2.0.0","HVAC_MASS_PER_TIME","Pounds mass per minute","autodesk.unit.unit:poundsMassPerMinute-1.0.0","lb/min",132.277357310927,0.00755987283333333,True
"Mass per Time","HVAC","autodesk.spec.aec.hvac:massPerTime-2.0.0","HVAC_MASS_PER_TIME","Pounds mass per second","autodesk.unit.unit:poundsMassPerSecond-1.0.0","lb/s",2.20462262184878,0.45359237,True
"Power","HVAC","autodesk.spec.aec.hvac:power-2.0.0","HVAC_POWER","British thermal units per hour","autodesk.unit.unit:britishThermalUnitsPerHour-1.0.1","Btu/h",0.316998330628151,3.15459074506305,True
"Power","HVAC","autodesk.spec.aec.hvac:power-2.0.0","HVAC_POWER","British thermal units per second","autodesk.unit.unit:britishThermalUnitsPerSecond-1.0.1","Btu/s",8.80550918411529E-05,11356.526682227,True
"Power","HVAC","autodesk.spec.aec.hvac:power-2.0.0","HVAC_POWER","Calories per second","autodesk.unit.unit:caloriesPerSecond-1.0.1","cal/s",0.0221895098882201,45.0663401326803,True
"Power","HVAC","autodesk.spec.aec.hvac:power-2.0.0","HVAC_POWER","Kilocalories per second","autodesk.unit.unit:kilocaloriesPerSecond-1.0.1","kcal/s",2.21895098882201E-05,45066.3401326803,True
"Power","HVAC","autodesk.spec.aec.hvac:power-2.0.0","HVAC_POWER","Kilowatts","autodesk.unit.unit:kilowatts-1.0.1","kW",9.290304E-05,10763.9104167097,True
"Power","HVAC","autodesk.spec.aec.hvac:power-2.0.0","HVAC_POWER","Watts","autodesk.unit.unit:watts-1.0.1","W",0.09290304,10.7639104167097,True
"Power Density","HVAC","autodesk.spec.aec.hvac:powerDensity-2.0.0","HVAC_POWER_DENSITY","British thermal units per hour square foot","autodesk.unit.unit:britishThermalUnitsPerHourSquareFoot-1.0.1","Btu/(h·ft²)",0.316998330628151,3.15459074506305,True
"Power Density","HVAC","autodesk.spec.aec.hvac:powerDensity-2.0.0","HVAC_POWER_DENSITY","Watts per square foot","autodesk.unit.unit:wattsPerSquareFoot-1.0.1","W/ft²",0.09290304,10.7639104167097,True
"Power Density","HVAC","autodesk.spec.aec.hvac:powerDensity-2.0.0","HVAC_POWER_DENSITY","Watts per square meter","autodesk.unit.unit:wattsPerSquareMeter-1.0.1","W/m²",1,1,True
"Power per Flow","HVAC","autodesk.spec.aec.hvac:powerPerFlow-2.0.0","HVAC_POWER_PER_FLOW","Watts per cubic foot per minute","autodesk.unit.unit:wattsPerCubicFootPerMinute-1.0.0","W·min/ft³",0.001548384,645.834625002583,True
"Power per Flow","HVAC","autodesk.spec.aec.hvac:powerPerFlow-2.0.0","HVAC_POWER_PER_FLOW","Watts per cubic meter per second","autodesk.unit.unit:wattsPerCubicMeterPerSecond-1.0.0","W·s/m³",3.28083989501312,0.3048,True
"Pressure","HVAC","autodesk.spec.aec.hvac:pressure-2.0.0","HVAC_PRESSURE","Atmospheres","autodesk.unit.unit:atmospheres-1.0.1","atm",3.23793722675857E-05,30883.86,True
"Pressure","HVAC","autodesk.spec.aec.hvac:pressure-2.0.0","HVAC_PRESSURE","Bars","autodesk.unit.unit:bars-1.0.1","bar",3.28083989501312E-05,30480,True
"Pressure","HVAC","autodesk.spec.aec.hvac:pressure-2.0.0","HVAC_PRESSURE","Feet of water (39.2 °F)","autodesk.unit.unit:feetOfWater39.2DegreesFahrenheit-1.0.1","FT",0.00109764531546318,911.041104,True
"Pressure","HVAC","autodesk.spec.aec.hvac:pressure-2.0.0","HVAC_PRESSURE","Inches of mercury (32 °F)","autodesk.unit.unit:inchesOfMercury32DegreesFahrenheit-1.0.1","inHg",0.000968831370233344,1032.1713672,True
"Pressure","HVAC","autodesk.spec.aec.hvac:pressure-2.0.0","HVAC_PRESSURE","Inches of water (60 °F)","autodesk.unit.unit:inchesOfWater60DegreesFahrenheit-1.0.1","in-wg",0.0131845358262865,75.846432,True
"Pressure","HVAC","autodesk.spec.aec.hvac:pressure-2.0.0","HVAC_PRESSURE","Kilopascals","autodesk.unit.unit:kilopascals-1.0.1","kPa",0.00328083989501312,304.8,True
"Pressure","HVAC","autodesk.spec.aec.hvac:pressure-2.0.0","HVAC_PRESSURE","Megapascals","autodesk.unit.unit:megapascals-1.0.1","MPa",3.28083989501312E-06,304800,True
"Pressure","HVAC","autodesk.spec.aec.hvac:pressure-2.0.0","HVAC_PRESSURE","Meters of water column","autodesk.unit.unit:metersOfWaterColumn-1.0.0","mH2O",0.000334552563312969,2989.06692,True
"Pressure","HVAC","autodesk.spec.aec.hvac:pressure-2.0.0","HVAC_PRESSURE","Millimeters of mercury","autodesk.unit.unit:millimetersOfMercury-1.0.1","mmHg",0.0246083170946002,40.63666752,True
"Pressure","HVAC","autodesk.spec.aec.hvac:pressure-2.0.0","HVAC_PRESSURE","Millimeters of water column","autodesk.unit.unit:millimetersOfWaterColumn-1.0.0","mmH2O",0.334552563312969,2.98906692,True
"Pressure","HVAC","autodesk.spec.aec.hvac:pressure-2.0.0","HVAC_PRESSURE","Pascals","autodesk.unit.unit:pascals-1.0.1","Pa",3.28083989501312,0.3048,True
"Pressure","HVAC","autodesk.spec.aec.hvac:pressure-2.0.0","HVAC_PRESSURE","Pounds force per square inch","autodesk.unit.unit:poundsForcePerSquareInch-1.0.1","psig",0.000475845596227721,2101.52202295772,True
"Roughness","HVAC","autodesk.spec.aec.hvac:roughness-2.0.0","HVAC_ROUGHNESS","Centimeters","autodesk.unit.unit:centimeters-1.0.1","cm",30.48,0.0328083989501312,True
"Roughness","HVAC","autodesk.spec.aec.hvac:roughness-2.0.0","HVAC_ROUGHNESS","Decimeters","autodesk.unit.unit:decimeters-1.0.1","dm",3.048,0.328083989501312,True
"Roughness","HVAC","autodesk.spec.aec.hvac:roughness-2.0.0","HVAC_ROUGHNESS","Feet","autodesk.unit.unit:feet-1.0.1","LF",1,1,True
"Roughness","HVAC","autodesk.spec.aec.hvac:roughness-2.0.0","HVAC_ROUGHNESS","Inches","autodesk.unit.unit:inches-1.0.1",""",12,0.0833333333333333,True
"Roughness","HVAC","autodesk.spec.aec.hvac:roughness-2.0.0","HVAC_ROUGHNESS","Meters","autodesk.unit.unit:meters-1.0.0","m",0.3048,3.28083989501312,True
"Roughness","HVAC","autodesk.spec.aec.hvac:roughness-2.0.0","HVAC_ROUGHNESS","Millimeters","autodesk.unit.unit:millimeters-1.0.1","mm",304.8,0.00328083989501312,True
"Roughness","HVAC","autodesk.spec.aec.hvac:roughness-2.0.0","HVAC_ROUGHNESS","Feet and fractional inches","autodesk.unit.unit:feetFractionalInches-1.0.0","",1,1,True
"Roughness","HVAC","autodesk.spec.aec.hvac:roughness-2.0.0","HVAC_ROUGHNESS","Fractional inches","autodesk.unit.unit:fractionalInches-1.0.0","",12,0.0833333333333333,True
"Roughness","HVAC","autodesk.spec.aec.hvac:roughness-2.0.0","HVAC_ROUGHNESS","Meters and centimeters","autodesk.unit.unit:metersCentimeters-1.0.0","",0.3048,3.28083989501312,True
"Slope","HVAC","autodesk.spec.aec.hvac:slope-2.0.0","HVAC_SLOPE","1 : Ratio","autodesk.unit.unit:1ToRatio-1.0.1","1:",1,1,True
"Slope","HVAC","autodesk.spec.aec.hvac:slope-2.0.0","HVAC_SLOPE","Per mille","autodesk.unit.unit:perMille-1.0.1","‰",1000,0.001,True
"Slope","HVAC","autodesk.spec.aec.hvac:slope-2.0.0","HVAC_SLOPE","Percentage","autodesk.unit.unit:percentage-1.0.1","%",100,0.01,True
"Slope","HVAC","autodesk.spec.aec.hvac:slope-2.0.0","HVAC_SLOPE","Ratio : 1","autodesk.unit.unit:ratioTo1-1.0.0",":1",1,1,True
"Slope","HVAC","autodesk.spec.aec.hvac:slope-2.0.0","HVAC_SLOPE","Ratio : 10","autodesk.unit.unit:ratioTo10-1.0.1",":10",10,0.1,True
"Slope","HVAC","autodesk.spec.aec.hvac:slope-2.0.0","HVAC_SLOPE","Ratio : 12","autodesk.unit.unit:ratioTo12-1.0.1",":12",12,0.0833333333333333,True
"Slope","HVAC","autodesk.spec.aec.hvac:slope-2.0.0","HVAC_SLOPE","Rise / 1000 millimeters","autodesk.unit.unit:riseDividedBy1000Millimeters-1.0.1","",1000,0.001,True
"Slope","HVAC","autodesk.spec.aec.hvac:slope-2.0.0","HVAC_SLOPE","Rise / 10 feet","autodesk.unit.unit:riseDividedBy10Feet-1.0.1","",10,0.1,True
"Slope","HVAC","autodesk.spec.aec.hvac:slope-2.0.0","HVAC_SLOPE","Rise / 120 inches","autodesk.unit.unit:riseDividedBy120Inches-1.0.1","",120,0.00833333333333333,True
"Slope","HVAC","autodesk.spec.aec.hvac:slope-2.0.0","HVAC_SLOPE","Rise / 12 inches","autodesk.unit.unit:riseDividedBy12Inches-1.0.1","",12,0.0833333333333333,True
"Slope","HVAC","autodesk.spec.aec.hvac:slope-2.0.0","HVAC_SLOPE","Rise / 1 foot","autodesk.unit.unit:riseDividedBy1Foot-1.0.1","",1,1,True
"Slope","HVAC","autodesk.spec.aec.hvac:slope-2.0.0","HVAC_SLOPE","Degrees","autodesk.unit.unit:slopeDegrees-1.0.0","",45,0.0174550649282176,True
"Temperature","HVAC","autodesk.spec.aec.hvac:temperature-2.0.0","HVAC_TEMPERATURE","Celsius","autodesk.unit.unit:celsius-1.0.1","°C",-272.15,274.15,True
"Temperature","HVAC","autodesk.spec.aec.hvac:temperature-2.0.0","HVAC_TEMPERATURE","Fahrenheit","autodesk.unit.unit:fahrenheit-1.0.1","°F",-457.87,255.927777777778,True
"Temperature","HVAC","autodesk.spec.aec.hvac:temperature-2.0.0","HVAC_TEMPERATURE","Kelvin","autodesk.unit.unit:kelvin-1.0.0","K",1,1,True
"Temperature","HVAC","autodesk.spec.aec.hvac:temperature-2.0.0","HVAC_TEMPERATURE","Rankine","autodesk.unit.unit:rankine-1.0.1","°R",1.8,0.555555555555556,True
"Temperature Difference","HVAC","autodesk.spec.aec.hvac:temperatureDifference-2.0.0","HVAC_TEMPERATURE_DIFFERENCE","Celsius interval","autodesk.unit.unit:celsiusInterval-1.0.1","delta°C",1,1,True
"Temperature Difference","HVAC","autodesk.spec.aec.hvac:temperatureDifference-2.0.0","HVAC_TEMPERATURE_DIFFERENCE","Fahrenheit interval","autodesk.unit.unit:fahrenheitInterval-1.0.1","delta°F",1.8,0.555555555555556,True
"Temperature Difference","HVAC","autodesk.spec.aec.hvac:temperatureDifference-2.0.0","HVAC_TEMPERATURE_DIFFERENCE","Kelvin interval","autodesk.unit.unit:kelvinInterval-1.0.0","K",1,1,True
"Temperature Difference","HVAC","autodesk.spec.aec.hvac:temperatureDifference-2.0.0","HVAC_TEMPERATURE_DIFFERENCE","Rankine interval","autodesk.unit.unit:rankineInterval-1.0.1","delta°R",1.8,0.555555555555556,True
"Velocity","HVAC","autodesk.spec.aec.hvac:velocity-2.0.0","HVAC_VELOCITY","Centimeters per minute","autodesk.unit.unit:centimetersPerMinute-1.0.1","cm/min",1828.8,0.000546806649168854,True
"Velocity","HVAC","autodesk.spec.aec.hvac:velocity-2.0.0","HVAC_VELOCITY","Feet per minute","autodesk.unit.unit:feetPerMinute-1.0.1","ft/min",60,0.0166666666666667,True
"Velocity","HVAC","autodesk.spec.aec.hvac:velocity-2.0.0","HVAC_VELOCITY","Feet per second","autodesk.unit.unit:feetPerSecond-1.0.1","ft/s",1,1,True
"Velocity","HVAC","autodesk.spec.aec.hvac:velocity-2.0.0","HVAC_VELOCITY","Kilometers per hour","autodesk.unit.unit:kilometersPerHour-1.0.1","km/h",1.09728,0.911344415281423,True
"Velocity","HVAC","autodesk.spec.aec.hvac:velocity-2.0.0","HVAC_VELOCITY","Meters per second","autodesk.unit.unit:metersPerSecond-1.0.1","m/s",0.3048,3.28083989501312,True
"Velocity","HVAC","autodesk.spec.aec.hvac:velocity-2.0.0","HVAC_VELOCITY","Miles per hour","autodesk.unit.unit:milesPerHour-1.0.1","mph",0.681818181818182,1.46666666666667,True
"Dynamic Viscosity","HVAC","autodesk.spec.aec.hvac:viscosity-2.0.0","HVAC_VISCOSITY","Centipoises","autodesk.unit.unit:centipoises-1.0.1","cP",3280.83989501312,0.0003048,True
"Dynamic Viscosity","HVAC","autodesk.spec.aec.hvac:viscosity-2.0.0","HVAC_VISCOSITY","Kilograms per meter hour","autodesk.unit.unit:kilogramsPerMeterHour-1.0.0","kg/(m·h)",11811.0236220472,8.46666666666667E-05,True
"Dynamic Viscosity","HVAC","autodesk.spec.aec.hvac:viscosity-2.0.0","HVAC_VISCOSITY","Kilograms per meter second","autodesk.unit.unit:kilogramsPerMeterSecond-1.0.0","kg/(m·s)",3.28083989501312,0.3048,True
"Dynamic Viscosity","HVAC","autodesk.spec.aec.hvac:viscosity-2.0.0","HVAC_VISCOSITY","Newton seconds per square meter","autodesk.unit.unit:newtonSecondsPerSquareMeter-1.0.0","N·s/m²",3.28083989501312,0.3048,True
"Dynamic Viscosity","HVAC","autodesk.spec.aec.hvac:viscosity-2.0.0","HVAC_VISCOSITY","Pascal seconds","autodesk.unit.unit:pascalSeconds-1.0.1","Pa-s",3.28083989501312,0.3048,True
"Dynamic Viscosity","HVAC","autodesk.spec.aec.hvac:viscosity-2.0.0","HVAC_VISCOSITY","Pound force seconds per square foot","autodesk.unit.unit:poundForceSecondsPerSquareFoot-1.0.0","lb·s/ft²",0.0685217658567918,14.5939029372064,True
"Dynamic Viscosity","HVAC","autodesk.spec.aec.hvac:viscosity-2.0.0","HVAC_VISCOSITY","Pounds mass per foot hour","autodesk.unit.unit:poundsMassPerFootHour-1.0.1","lbm/ft-h",7936.64143865559,0.000125997880555556,True
"Dynamic Viscosity","HVAC","autodesk.spec.aec.hvac:viscosity-2.0.0","HVAC_VISCOSITY","Pounds mass per foot second","autodesk.unit.unit:poundsMassPerFootSecond-1.0.1","lbm/ft-s",2.20462262184878,0.45359237,True
"Stationing","Infrastructure","autodesk.spec.aec.infrastructure:stationing-2.0.0","STATIONING","Feet","autodesk.unit.unit:stationingFeet-1.0.0","",1,1,True
"Stationing","Infrastructure","autodesk.spec.aec.infrastructure:stationing-2.0.0","STATIONING","Meters","autodesk.unit.unit:stationingMeters-1.0.0","",0.3048,3.28083989501312,True
"Stationing","Infrastructure","autodesk.spec.aec.infrastructure:stationing-2.0.0","STATIONING","US survey feet","autodesk.unit.unit:stationingSurveyFeet-1.0.0","",0.999998,1.000002000004,True
"Stationing Interval","Infrastructure","autodesk.spec.aec.infrastructure:stationingInterval-2.0.0","STATIONING_INTERVAL","Feet","autodesk.unit.unit:feet-1.0.1","LF",1,1,True
"Stationing Interval","Infrastructure","autodesk.spec.aec.infrastructure:stationingInterval-2.0.0","STATIONING_INTERVAL","Meters","autodesk.unit.unit:meters-1.0.0","m",0.3048,3.28083989501312,True
"Stationing Interval","Infrastructure","autodesk.spec.aec.infrastructure:stationingInterval-2.0.0","STATIONING_INTERVAL","US survey feet","autodesk.unit.unit:usSurveyFeet-1.0.0","USft",0.999998,1.000002000004,True
"Density","Piping","autodesk.spec.aec.piping:density-2.0.0","PIPING_DENSITY","Kilograms per cubic meter","autodesk.unit.unit:kilogramsPerCubicMeter-1.0.1","kg/m³",35.3146667214886,0.028316846592,True
"Density","Piping","autodesk.spec.aec.piping:density-2.0.0","PIPING_DENSITY","Pounds mass per cubic foot","autodesk.unit.unit:poundsMassPerCubicFoot-1.0.1","lbm/ft³",2.20462262184878,0.45359237,True
"Density","Piping","autodesk.spec.aec.piping:density-2.0.0","PIPING_DENSITY","Pounds mass per cubic inch","autodesk.unit.unit:poundsMassPerCubicInch-1.0.1","lbm/in³",0.00127582327653286,783.80761536,True
"Flow","Piping","autodesk.spec.aec.piping:flow-2.0.0","PIPING_FLOW","Cubic feet per hour","autodesk.unit.unit:cubicFeetPerHour-1.0.0","ft³/h",3600,0.000277777777777778,True
"Flow","Piping","autodesk.spec.aec.piping:flow-2.0.0","PIPING_FLOW","Cubic feet per minute","autodesk.unit.unit:cubicFeetPerMinute-1.0.1","ft³/min",60,0.0166666666666667,True
"Flow","Piping","autodesk.spec.aec.piping:flow-2.0.0","PIPING_FLOW","Cubic meters per hour","autodesk.unit.unit:cubicMetersPerHour-1.0.1","m³/h",101.9406477312,0.00980962964485794,True
