Quantity,Discipline,Quantity TypeId,Type Catalog String,Unit Name,Unit TypeId,Unit Symbol,Conversion Factor From Internal,Conversion Factor To Internal,Is Valid
"Energy","Energy","autodesk.spec.aec.energy:energy-2.0.0","HVAC_ENERGY","British thermal units","autodesk.unit.unit:britishThermalUnits-1.0.1","Btu",8.80550918411529E-05,11356.526682227,True
"Energy","Energy","autodesk.spec.aec.energy:energy-2.0.0","HVAC_ENERGY","Calories","autodesk.unit.unit:calories-1.0.1","cal",0.0221895098882201,45.0663401326803,True
"Energy","Energy","autodesk.spec.aec.energy:energy-2.0.0","HVAC_ENERGY","Joules","autodesk.unit.unit:joules-1.0.1","J",0.09290304,10.7639104167097,True
"Energy","Energy","autodesk.spec.aec.energy:energy-2.0.0","HVAC_ENERGY","Kilocalories","autodesk.unit.unit:kilocalories-1.0.1","kcal",2.21895098882201E-05,45066.3401326803,True
"Energy","Energy","autodesk.spec.aec.energy:energy-2.0.0","HVAC_ENERGY","Kilowatt hours","autodesk.unit.unit:kilowattHours-1.0.1","kWh",2.58064E-08,38750077.500155,True
"Energy","Energy","autodesk.spec.aec.energy:energy-2.0.0","HVAC_ENERGY","Therms","autodesk.unit.unit:therms-1.0.1","therm",8.80550918411529E-10,1135652668.2227,True
"Heat Capacity per Area","Energy","autodesk.spec.aec.energy:heatCapacityPerArea-2.0.0","HVAC_HEAT_CAPACITY_PER_AREA","British thermal units per square foot degree Fahrenheit","autodesk.unit.unit:britishThermalUnitsPerSquareFootDegreeFahrenheit-1.0.0","BTU/(ft²·°F)",4.89194954673072E-05,20441.7480280086,True
"Heat Capacity per Area","Energy","autodesk.spec.aec.energy:heatCapacityPerArea-2.0.0","HVAC_HEAT_CAPACITY_PER_AREA","Joules per square meter Kelvin","autodesk.unit.unit:joulesPerSquareMeterKelvin-1.0.0","J/(m²·K)",1,1,True
"Heat Capacity per Area","Energy","autodesk.spec.aec.energy:heatCapacityPerArea-2.0.0","HVAC_HEAT_CAPACITY_PER_AREA","Kilojoules per square meter Kelvin","autodesk.unit.unit:kilojoulesPerSquareMeterKelvin-1.0.0","kJ/(m²·K)",0.001,1000,True
"Coefficient of Heat Transfer","Energy","autodesk.spec.aec.energy:heatTransferCoefficient-2.0.0","HVAC_COEFFICIENT_OF_HEAT_TRANSFER","British thermal units per hour square foot degree Fahrenheit","autodesk.unit.unit:britishThermalUnitsPerHourSquareFootDegreeFahrenheit-1.0.1","BTU/(h·ft²·°F)",0.176110183682306,5.67826334111349,True
"Coefficient of Heat Transfer","Energy","autodesk.spec.aec.energy:heatTransferCoefficient-2.0.0","HVAC_COEFFICIENT_OF_HEAT_TRANSFER","Watts per square meter kelvin","autodesk.unit.unit:wattsPerSquareMeterKelvin-1.0.1","W/(m²·K)",1,1,True
"Isothermal Moisture Capacity","Energy","autodesk.spec.aec.energy:isothermalMoistureCapacity-2.0.0","HVAC_ISOTHERMAL_MOISTURE_CAPACITY","Cubic feet per pound mass","autodesk.unit.unit:cubicFeetPerPoundMass-1.0.0","ft³/lb",0.45359237,2.20462262184878,True
"Isothermal Moisture Capacity","Energy","autodesk.spec.aec.energy:isothermalMoistureCapacity-2.0.0","HVAC_ISOTHERMAL_MOISTURE_CAPACITY","Cubic meters per kilogram","autodesk.unit.unit:cubicMetersPerKilogram-1.0.0","m³/kg",0.028316846592,35.3146667214886,True
"Permeability","Energy","autodesk.spec.aec.energy:permeability-2.0.0","HVAC_PERMEABILITY","Grains per hour square foot inch mercury","autodesk.unit.unit:grainsPerHourSquareFootInchMercury-1.0.1","gr/(h·ft²·inHg)",57343818312.9932,1.74386713235909E-11,True
"Permeability","Energy","autodesk.spec.aec.energy:permeability-2.0.0","HVAC_PERMEABILITY","Nanograms per pascal second square meter","autodesk.unit.unit:nanogramsPerPascalSecondSquareMeter-1.0.1","ng/(Pa·s·m²)",3280839895013.12,3.048E-13,True
"Specific Heat","Energy","autodesk.spec.aec.energy:specificHeat-2.0.0","HVAC_SPECIFIC_HEAT","British thermal units per pound degree Fahrenheit","autodesk.unit.unit:britishThermalUnitsPerPoundDegreeFahrenheit-1.0.1","BTU/(lb·°F)",2.21895098882201E-05,45066.3401326803,True
"Specific Heat","Energy","autodesk.spec.aec.energy:specificHeat-2.0.0","HVAC_SPECIFIC_HEAT","Joules per gram degree Celsius","autodesk.unit.unit:joulesPerGramDegreeCelsius-1.0.1","J/(g·°C)",9.290304E-05,10763.9104167097,True
"Specific Heat","Energy","autodesk.spec.aec.energy:specificHeat-2.0.0","HVAC_SPECIFIC_HEAT","Joules per kilogram degree Celsius","autodesk.unit.unit:joulesPerKilogramDegreeCelsius-1.0.1","J/(kg·°C)",0.09290304,10.7639104167097,True
"Specific Heat of Vaporization","Energy","autodesk.spec.aec.energy:specificHeatOfVaporization-2.0.0","HVAC_SPECIFIC_HEAT_OF_VAPORIZATION","British thermal units per pound","autodesk.unit.unit:britishThermalUnitsPerPound-1.0.1","BTU/lb",3.99411177987962E-05,25036.8556292668,True
"Specific Heat of Vaporization","Energy","autodesk.spec.aec.energy:specificHeatOfVaporization-2.0.0","HVAC_SPECIFIC_HEAT_OF_VAPORIZATION","Joules per gram","autodesk.unit.unit:joulesPerGram-1.0.1","J/g",9.290304E-05,10763.9104167097,True
"Thermal Conductivity","Energy","autodesk.spec.aec.energy:thermalConductivity-2.0.0","HVAC_THERMAL_CONDUCTIVITY","British thermal units per hour foot degree Fahrenheit","autodesk.unit.unit:britishThermalUnitsPerHourFootDegreeFahrenheit-1.0.1","BTU/(h·ft·°F)",0.176110183682306,5.67826334111349,True
"Thermal Conductivity","Energy","autodesk.spec.aec.energy:thermalConductivity-2.0.0","HVAC_THERMAL_CONDUCTIVITY","Watts per meter kelvin","autodesk.unit.unit:wattsPerMeterKelvin-1.0.1","W/(m·K)",0.3048,3.28083989501312,True
"Thermal Gradient Coefficient for Moisture Capacity","Energy","autodesk.spec.aec.energy:thermalGradientCoefficientForMoistureCapacity-2.0.0","HVAC_THERMAL_GRADIENT_COEFFICIENT_FOR_MOISTURE_CAPACITY","Kilograms per kilogram kelvin","autodesk.unit.unit:kilogramsPerKilogramKelvin-1.0.0","kg/(kg·K)",1,1,True
"Thermal Gradient Coefficient for Moisture Capacity","Energy","autodesk.spec.aec.energy:thermalGradientCoefficientForMoistureCapacity-2.0.0","HVAC_THERMAL_GRADIENT_COEFFICIENT_FOR_MOISTURE_CAPACITY","Pounds mass per pound degree Fahrenheit","autodesk.unit.unit:poundsMassPerPoundDegreeFahrenheit-1.0.0","lb/(lb·°F)",0.555555555555556,1.8,True
"Thermal Mass","Energy","autodesk.spec.aec.energy:thermalMass-2.0.0","HVAC_THERMAL_MASS","British thermal units per degree Fahrenheit","autodesk.unit.unit:britishThermalUnitsPerDegreeFahrenheit-1.0.1","BTU/°F",4.89194954673072E-05,20441.7480280086,True
"Thermal Mass","Energy","autodesk.spec.aec.energy:thermalMass-2.0.0","HVAC_THERMAL_MASS","Joules per Kelvin","autodesk.unit.unit:joulesPerKelvin-1.0.1","J/K",0.09290304,10.7639104167097,True
"Thermal Mass","Energy","autodesk.spec.aec.energy:thermalMass-2.0.0","HVAC_THERMAL_MASS","Kilojoules per Kelvin","autodesk.unit.unit:kilojoulesPerKelvin-1.0.1","kJ/K",9.290304E-05,10763.9104167097,True
"Thermal Resistance","Energy","autodesk.spec.aec.energy:thermalResistance-2.0.0","HVAC_THERMAL_RESISTANCE","Hour square foot degrees Fahrenheit per British thermal unit","autodesk.unit.unit:hourSquareFootDegreesFahrenheitPerBritishThermalUnit-1.0.1","(h·ft²·°F)/BTU",5.67826334111349,0.176110183682306,True
"Thermal Resistance","Energy","autodesk.spec.aec.energy:thermalResistance-2.0.0","HVAC_THERMAL_RESISTANCE","Square meter kelvins per watt","autodesk.unit.unit:squareMeterKelvinsPerWatt-1.0.1","(m²·K)/W",1,1,True
"Air Flow","HVAC","autodesk.spec.aec.hvac:airFlow-2.0.0","HVAC_AIR_FLOW","Cubic feet per hour","autodesk.unit.unit:cubicFeetPerHour-1.0.0","ft³/h",3600,0.000277777777777778,True
"Air Flow","HVAC","autodesk.spec.aec.hvac:airFlow-2.0.0","HVAC_AIR_FLOW","Cubic feet per minute","autodesk.unit.unit:cubicFeetPerMinute-1.0.1","ft³/min",60,0.0166666666666667,True
"Air Flow","HVAC","autodesk.spec.aec.hvac:airFlow-2.0.0","HVAC_AIR_FLOW","Cubic meters per hour","autodesk.unit.unit:cubicMetersPerHour-1.0.1","m³/h",101.9406477312,0.00980962964485794,True
"Air Flow","HVAC","autodesk.spec.aec.hvac:airFlow-2.0.0","HVAC_AIR_FLOW","Cubic meters per second","autodesk.unit.unit:cubicMetersPerSecond-1.0.1","m³/s",0.028316846592,35.3146667214886,True
"Air Flow","HVAC","autodesk.spec.aec.hvac:airFlow-2.0.0","HVAC_AIR_FLOW","Liters per hour","autodesk.unit.unit:litersPerHour-1.0.1","L/h",101940.6477312,9.80962964485794E-06,True
